OriginAirportName,DestAirportName,AverageArrivalDelay
Lambert-St. Louis International,Raleigh-Durham International,9.958333333333334
John F. Kennedy International,Sacramento International,9.95
Washington Dulles International,Buffalo Niagara International,9.936170212765957
Phoenix Sky Harbor International,Austin - Bergstrom International,9.933701657458563
Chicago O'Hare International,Palm Beach International,9.892857142857142
McCarran International,Denver International,9.889175257731958
Kansas City International,Fort Lauderdale-Hollywood International,9.882352941176471
Ronald Reagan Washington National,Bradley International,9.857142857142858
Fort Lauderdale-Hollywood International,John F. Kennedy International,9.857142857142858
Denver International,McCarran International,9.846560846560847
Chicago Midway International,Norfolk International,9.833333333333334
Logan International,Chicago Midway International,9.829545454545455
Denver International,Los Angeles International,9.826175869120654
Chicago O'Hare International,General Mitchell International,9.80722891566265
Albuquerque International Sunport,Orlando International,9.8
Lambert-St. Louis International,Kansas City International,9.8
Nashville International,Logan International,9.770833333333334
Long Beach Airport,San Francisco International,9.763157894736842
William P Hobby,Charlotte Douglas International,9.736842105263158
San Francisco International,Washington Dulles International,9.714828897338403
San Francisco International,San Diego International,9.714611872146119
Baltimore/Washington International Thurgood Marshall,Memphis International,9.714285714285714
McCarran International,Port Columbus International,9.714285714285714
Philadelphia International,San Antonio International,9.689655172413794
Louis Armstrong New Orleans International,Fort Lauderdale-Hollywood International,9.678571428571429
Denver International,San Antonio International,9.655555555555555
Newark Liberty International,San Diego International,9.63888888888889
Chicago O'Hare International,Theodore Francis Green State,9.625
Long Beach Airport,Austin - Bergstrom International,9.617647058823529
Dallas/Fort Worth International,Louis Armstrong New Orleans International,9.60958904109589
Dallas/Fort Worth International,Ontario International,9.607142857142858
Fort Lauderdale-Hollywood International,William P Hobby,9.583333333333334
Indianapolis International,Chicago O'Hare International,9.575757575757576
George Bush Intercontinental/Houston,LaGuardia,9.574850299401197
Kansas City International,John F. Kennedy International,9.565217391304348
Ronald Reagan Washington National,Lambert-St. Louis International,9.564814814814815
Hartsfield-Jackson Atlanta International,Will Rogers World,9.5625
McCarran International,San Diego International,9.555084745762711
Washington Dulles International,Seattle/Tacoma International,9.546875
Reno/Tahoe International,Dallas/Fort Worth International,9.542372881355933
Kansas City International,Will Rogers World,9.529411764705882
Buffalo Niagara International,Washington Dulles International,9.51923076923077
San Francisco International,Chicago O'Hare International,9.517525773195876
Phoenix Sky Harbor International,Miami International,9.481481481481481
Dallas/Fort Worth International,Newark Liberty International,9.46927374301676
Phoenix Sky Harbor International,Buffalo Niagara International,9.444444444444445
Tampa International,Philadelphia International,9.421052631578947
Dallas/Fort Worth International,Fort Lauderdale-Hollywood International,9.415254237288135
Memphis International,Dallas/Fort Worth International,9.40983606557377
Orlando International,Port Columbus International,9.39655172413793
Miami International,Hartsfield-Jackson Atlanta International,9.391752577319588
Phoenix Sky Harbor International,Chicago Midway International,9.381578947368421
Dallas/Fort Worth International,William P Hobby,9.368131868131869
Jacksonville International,Luis Munoz Marin International,9.363636363636363
Orlando International,Chicago O'Hare International,9.353591160220995
Los Angeles International,Austin - Bergstrom International,9.34640522875817
San Antonio International,Los Angeles International,9.336448598130842
Phoenix Sky Harbor International,William P Hobby,9.325842696629213
Albuquerque International Sunport,William P Hobby,9.32394366197183
Louisville International-Standiford Field,George Bush Intercontinental/Houston,9.314285714285715
Port Columbus International,Hartsfield-Jackson Atlanta International,9.3
Fort Lauderdale-Hollywood International,Jacksonville International,9.276923076923078
Ronald Reagan Washington National,John F. Kennedy International,9.26923076923077
Chicago Midway International,Will Rogers World,9.258064516129032
William P Hobby,Tampa International,9.256756756756756
Chicago Midway International,Port Columbus International,9.23015873015873
Baltimore/Washington International Thurgood Marshall,Lambert-St. Louis International,9.223300970873787
William P Hobby,Logan International,9.205882352941176
General Mitchell International,Baltimore/Washington International Thurgood Marshall,9.2
Charlotte Douglas International,Hartsfield-Jackson Atlanta International,9.179802955665025
Logan International,Palm Beach International,9.172413793103448
Louisville International-Standiford Field,Newark Liberty International,9.169811320754716
William P Hobby,Seattle/Tacoma International,9.166666666666666
Philadelphia International,Detroit Metro Wayne County,9.154362416107382
Chicago O'Hare International,Cincinnati/Northern Kentucky International,9.151898734177216
Eppley Airfield,Chicago O'Hare International,9.120218579234972
Dallas/Fort Worth International,Ronald Reagan Washington National,9.116822429906541
Dallas Love Field,Kansas City International,9.1
Austin - Bergstrom International,Charlotte Douglas International,9.1
Charlotte Douglas International,Orlando International,9.061904761904762
Dallas Love Field,San Antonio International,9.042145593869732
Cincinnati/Northern Kentucky International,George Bush Intercontinental/Houston,9.041237113402062
Detroit Metro Wayne County,Norfolk International,9.03896103896104
Seattle/Tacoma International,San Antonio International,9.035714285714286
Denver International,Philadelphia International,9.030534351145038
Chicago Midway International,Louis Armstrong New Orleans International,9.018518518518519
Dallas/Fort Worth International,LaGuardia,9.0
Los Angeles International,William P Hobby,8.969696969696969
Miami International,Charlotte Douglas International,8.96887159533074
Palm Beach International,George Bush Intercontinental/Houston,8.933333333333334
Detroit Metro Wayne County,Dallas/Fort Worth International,8.923076923076923
Minneapolis-St Paul International,George Bush Intercontinental/Houston,8.88888888888889
Memphis International,Kansas City International,8.882352941176471
Miami International,Washington Dulles International,8.88
Luis Munoz Marin International,Jacksonville International,8.875
Denver International,Cincinnati/Northern Kentucky International,8.865384615384615
Detroit Metro Wayne County,Lambert-St. Louis International,8.854700854700855
John F. Kennedy International,Philadelphia International,8.854166666666666
Will Rogers World,William P Hobby,8.850574712643677
Newark Liberty International,Buffalo Niagara International,8.847826086956522
Tampa International,Logan International,8.84375
Louis Armstrong New Orleans International,Dallas/Fort Worth International,8.838509316770187
LaGuardia,Charlotte Douglas International,8.823376623376623
Washington Dulles International,Detroit Metro Wayne County,8.819548872180452
Miami International,Detroit Metro Wayne County,8.81159420289855
Minneapolis-St Paul International,John F. Kennedy International,8.808823529411764
Ronald Reagan Washington National,Nashville International,8.807692307692308
Kansas City International,Minneapolis-St Paul International,8.803418803418804
Lambert-St. Louis International,Philadelphia International,8.8
Dallas/Fort Worth International,Raleigh-Durham International,8.797979797979798
Dallas/Fort Worth International,Will Rogers World,8.792553191489361
Miami International,Bradley International,8.791666666666666
Denver International,Reno/Tahoe International,8.780219780219781
Charlotte Douglas International,Fort Lauderdale-Hollywood International,8.766467065868264
Orlando International,Luis Munoz Marin International,8.762626262626263
Salt Lake City International,Denver International,8.734104046242775
Salt Lake City International,Chicago Midway International,8.731707317073171
Lambert-St. Louis International,Tampa International,8.714285714285714
Ronald Reagan Washington National,Detroit Metro Wayne County,8.710344827586207
Baltimore/Washington International Thurgood Marshall,Logan International,8.707831325301205
San Diego International,San Antonio International,8.707317073170731
Dallas/Fort Worth International,Bradley International,8.7
Dallas/Fort Worth International,Denver International,8.699453551912569
Richmond International,Miami International,8.6875
William P Hobby,Fort Lauderdale-Hollywood International,8.68421052631579
Metropolitan Oakland International,Denver International,8.683544303797468
George Bush Intercontinental/Houston,Norfolk International,8.68
Buffalo Niagara International,Chicago O'Hare International,8.68
Dallas/Fort Worth International,Norfolk International,8.674418604651162
John F. Kennedy International,Louis Armstrong New Orleans International,8.673469387755102
Chicago Midway International,Denver International,8.672489082969433
Kansas City International,Tampa International,8.666666666666666
Nashville International,George Bush Intercontinental/Houston,8.666666666666666
LaGuardia,Chicago Midway International,8.656862745098039
Tucson International,McCarran International,8.652173913043478
Southwest Florida International,Baltimore/Washington International Thurgood Marshall,8.646153846153846
Los Angeles International,Washington Dulles International,8.636015325670497
General Mitchell International,Logan International,8.592592592592593
Metropolitan Oakland International,Portland International,8.591836734693878
Los Angeles International,Kansas City International,8.591549295774648
McCarran International,Dallas/Fort Worth International,8.583657587548638
Orlando International,Baltimore/Washington International Thurgood Marshall,8.577981651376147
Chicago O'Hare International,Raleigh-Durham International,8.576687116564417
Newark Liberty International,Chicago O'Hare International,8.570291777188329
Washington Dulles International,Logan International,8.55944055944056
Dallas/Fort Worth International,Phoenix Sky Harbor International,8.533112582781458
Logan International,Denver International,8.532467532467532
Denver International,Newark Liberty International,8.529411764705882
Fort Lauderdale-Hollywood International,Luis Munoz Marin International,8.526315789473685
Fort Lauderdale-Hollywood International,Baltimore/Washington International Thurgood Marshall,8.505154639175258
San Francisco International,Long Beach Airport,8.5
McCarran International,Honolulu International,8.5
John F. Kennedy International,Raleigh-Durham International,8.482926829268292
San Diego International,William P Hobby,8.482758620689655
Detroit Metro Wayne County,Minneapolis-St Paul International,8.475409836065573
Miami International,Philadelphia International,8.462962962962964
Dallas/Fort Worth International,Kansas City International,8.460606060606061
Baltimore/Washington International Thurgood Marshall,Indianapolis International,8.44927536231884
Dallas Love Field,Will Rogers World,8.446808510638299
Reno/Tahoe International,McCarran International,8.43265306122449
Pittsburgh International,John F. Kennedy International,8.426470588235293
Phoenix Sky Harbor International,Louisville International-Standiford Field,8.409090909090908
Denver International,Tucson International,8.403361344537815
Baltimore/Washington International Thurgood Marshall,McCarran International,8.402173913043478
Dallas/Fort Worth International,Chicago O'Hare International,8.400785854616895
Pittsburgh International,Detroit Metro Wayne County,8.398148148148149
Dallas/Fort Worth International,John Wayne Airport-Orange County,8.365591397849462
Chicago O'Hare International,Lambert-St. Louis International,8.355555555555556
Hartsfield-Jackson Atlanta International,Norfolk International,8.341463414634147
Phoenix Sky Harbor International,Denver International,8.32484076433121
Norman Y. Mineta San Jose International,McCarran International,8.321428571428571
Newark Liberty International,Denver International,8.318181818181818
McCarran International,Portland International,8.317073170731707
Baltimore/Washington International Thurgood Marshall,Phoenix Sky Harbor International,8.316326530612244
Seattle/Tacoma International,Sacramento International,8.305882352941177
Ronald Reagan Washington National,Charlotte Douglas International,8.299363057324841
Chicago Midway International,Minneapolis-St Paul International,8.298507462686567
Chicago Midway International,Eppley Airfield,8.295238095238096
William P Hobby,Austin - Bergstrom International,8.275862068965518
Ronald Reagan Washington National,Memphis International,8.275
Chicago O'Hare International,McCarran International,8.27363184079602
Port Columbus International,Charlotte Douglas International,8.267857142857142
Dallas/Fort Worth International,Hartsfield-Jackson Atlanta International,8.267281105990783
Denver International,San Diego International,8.266094420600858
Portland International,Newark Liberty International,8.263157894736842
Dallas/Fort Worth International,Nashville International,8.256410256410257
Long Beach Airport,McCarran International,8.25531914893617
Los Angeles International,Albuquerque International Sunport,8.254237288135593
Chicago Midway International,Fort Lauderdale-Hollywood International,8.253521126760564
Austin - Bergstrom International,Baltimore/Washington International Thurgood Marshall,8.24074074074074
McCarran International,San Antonio International,8.238095238095237
Phoenix Sky Harbor International,Ontario International,8.17596566523605
Tampa International,Port Columbus International,8.166666666666666
Philadelphia International,Hartsfield-Jackson Atlanta International,8.166666666666666
Philadelphia International,Chicago O'Hare International,8.16497461928934
Dallas/Fort Worth International,Washington Dulles International,8.153846153846153
Minneapolis-St Paul International,Denver International,8.132743362831858
Norman Y. Mineta San Jose International,Seattle/Tacoma International,8.13125
San Diego International,Sacramento International,8.130434782608695
Port Columbus International,LaGuardia,8.12621359223301
Seattle/Tacoma International,Logan International,8.125
Orlando International,Logan International,8.125
Dallas/Fort Worth International,Los Angeles International,8.120388349514563
John F. Kennedy International,Metropolitan Oakland International,8.11111111111111
Orlando International,George Bush Intercontinental/Houston,8.105633802816902
Dallas Love Field,Louis Armstrong New Orleans International,8.103030303030303
Will Rogers World,Dallas/Fort Worth International,8.10135135135135
Memphis International,Ronald Reagan Washington National,8.090909090909092
Chicago Midway International,Cleveland-Hopkins International,8.081967213114755
John F. Kennedy International,Hartsfield-Jackson Atlanta International,8.073394495412844
Luis Munoz Marin International,Philadelphia International,8.057692307692308
Bradley International,Luis Munoz Marin International,8.052631578947368
Orlando International,Albuquerque International Sunport,8.052631578947368
Logan International,Chicago O'Hare International,8.030303030303031
Austin - Bergstrom International,Newark Liberty International,8.0
Ronald Reagan Washington National,San Diego International,8.0
Newark Liberty International,Cleveland-Hopkins International,8.0
John F. Kennedy International,Louisville International-Standiford Field,8.0
Philadelphia International,Tampa International,7.992592592592593
Dallas/Fort Worth International,Cincinnati/Northern Kentucky International,7.986486486486487
Lambert-St. Louis International,Chicago O'Hare International,7.977401129943503
Hartsfield-Jackson Atlanta International,Philadelphia International,7.970899470899471
San Francisco International,Seattle/Tacoma International,7.9672897196261685
Phoenix Sky Harbor International,Honolulu International,7.929577464788732
Philadelphia International,Los Angeles International,7.923529411764706
Orlando International,San Antonio International,7.911764705882353
Will Rogers World,Memphis International,7.909090909090909
Hartsfield-Jackson Atlanta International,Louisville International-Standiford Field,7.906593406593407
McCarran International,Chicago Midway International,7.890476190476191
McCarran International,Reno/Tahoe International,7.877358490566038
LaGuardia,Memphis International,7.875
Logan International,Fort Lauderdale-Hollywood International,7.873873873873874
Baltimore/Washington International Thurgood Marshall,Louis Armstrong New Orleans International,7.87037037037037
Charlotte Douglas International,Los Angeles International,7.857142857142857
Ronald Reagan Washington National,Raleigh-Durham International,7.854014598540146
Washington Dulles International,Jacksonville International,7.837837837837838
William P Hobby,Orlando International,7.804878048780488
Memphis International,Chicago O'Hare International,7.803680981595092
Salt Lake City International,John F. Kennedy International,7.785714285714286
Orlando International,LaGuardia,7.784810126582278
Chicago Midway International,Kansas City International,7.767195767195767
Logan International,Washington Dulles International,7.764102564102564
Hartsfield-Jackson Atlanta International,General Mitchell International,7.757462686567164
Luis Munoz Marin International,Tampa International,7.744186046511628
George Bush Intercontinental/Houston,Los Angeles International,7.733532934131737
Orlando International,Hartsfield-Jackson Atlanta International,7.718518518518518
Norfolk International,John F. Kennedy International,7.709677419354839
San Francisco International,Chicago Midway International,7.7
Newark Liberty International,Palm Beach International,7.69811320754717
McCarran International,Kansas City International,7.688311688311688
Chicago O'Hare International,Portland International,7.687898089171974
Phoenix Sky Harbor International,Indianapolis International,7.684931506849315
Long Beach Airport,Metropolitan Oakland International,7.676056338028169
Lambert-St. Louis International,Nashville International,7.675
Norman Y. Mineta San Jose International,Logan International,7.666666666666667
Phoenix Sky Harbor International,General Mitchell International,7.65979381443299
Indianapolis International,Miami International,7.657894736842105
Nashville International,Norfolk International,7.65
San Diego International,Denver International,7.646586345381526
Indianapolis International,McCarran International,7.615384615384615
Logan International,Jacksonville International,7.606060606060606
Orlando International,San Francisco International,7.589743589743589
Chicago O'Hare International,Minneapolis-St Paul International,7.587804878048781
Phoenix Sky Harbor International,Metropolitan Oakland International,7.5763546798029555
Kansas City International,Chicago Midway International,7.571428571428571
Indianapolis International,Southwest Florida International,7.571428571428571
Philadelphia International,John F. Kennedy International,7.5625
Dallas Love Field,George Bush Intercontinental/Houston,7.557971014492754
Eppley Airfield,Denver International,7.547770700636943
Ronald Reagan Washington National,Dallas/Fort Worth International,7.545454545454546
Hartsfield-Jackson Atlanta International,Chicago Midway International,7.542772861356932
Luis Munoz Marin International,Charlotte Douglas International,7.5344827586206895
William P Hobby,Pittsburgh International,7.523809523809524
Seattle/Tacoma International,Miami International,7.521739130434782
Miami International,Los Angeles International,7.520618556701031
John F. Kennedy International,Austin - Bergstrom International,7.518072289156627
Minneapolis-St Paul International,General Mitchell International,7.517241379310345
Baltimore/Washington International Thurgood Marshall,Austin - Bergstrom International,7.516129032258065
John F. Kennedy International,Tampa International,7.5136612021857925
McCarran International,John F. Kennedy International,7.508196721311475
Los Angeles International,Kahului Airport,7.502824858757062
Louisville International-Standiford Field,Chicago O'Hare International,7.488636363636363
Seattle/Tacoma International,Detroit Metro Wayne County,7.488095238095238
Orlando International,Indianapolis International,7.487179487179487
Kansas City International,Chicago O'Hare International,7.482758620689655
Louis Armstrong New Orleans International,Orlando International,7.46067415730337
Nashville International,Los Angeles International,7.451612903225806
William P Hobby,John F. Kennedy International,7.4411764705882355
San Antonio International,Dallas Love Field,7.437984496124031
Los Angeles International,George Bush Intercontinental/Houston,7.435672514619883
Austin - Bergstrom International,Hartsfield-Jackson Atlanta International,7.435294117647059
Will Rogers World,Los Angeles International,7.430379746835443
Metropolitan Oakland International,San Diego International,7.427385892116183
Norman Y. Mineta San Jose International,San Diego International,7.422110552763819
Logan International,Newark Liberty International,7.421052631578948
Fort Lauderdale-Hollywood International,San Francisco International,7.409836065573771
Eppley Airfield,Lambert-St. Louis International,7.388888888888889
Denver International,Bob Hope,7.384615384615385
George Bush Intercontinental/Houston,Detroit Metro Wayne County,7.382716049382716
Minneapolis-St Paul International,Philadelphia International,7.374193548387097
Metropolitan Oakland International,Austin - Bergstrom International,7.37037037037037
San Francisco International,Salt Lake City International,7.362573099415204
Louis Armstrong New Orleans International,Washington Dulles International,7.333333333333333
Albuquerque International Sunport,Dallas Love Field,7.328859060402684
Orlando International,Richmond International,7.324324324324325
Port Columbus International,Los Angeles International,7.318181818181818
Charlotte Douglas International,Miami International,7.306451612903226
General Mitchell International,Fort Lauderdale-Hollywood International,7.3
Austin - Bergstrom International,Norman Y. Mineta San Jose International,7.27906976744186
Raleigh-Durham International,William P Hobby,7.264705882352941
Logan International,Dallas/Fort Worth International,7.260869565217392
Logan International,Hartsfield-Jackson Atlanta International,7.260504201680672
Washington Dulles International,Portland International,7.25
John F. Kennedy International,Orlando International,7.2303030303030305
Orlando International,William P Hobby,7.2254901960784315
Hartsfield-Jackson Atlanta International,Port Columbus International,7.217194570135747
Seattle/Tacoma International,Dallas/Fort Worth International,7.211981566820277
San Antonio International,Phoenix Sky Harbor International,7.189873417721519
Dallas/Fort Worth International,Charlotte Douglas International,7.168421052631579
Washington Dulles International,Cleveland-Hopkins International,7.162790697674419
Buffalo Niagara International,LaGuardia,7.142857142857143
John Wayne Airport-Orange County,Denver International,7.129032258064516
Kansas City International,Indianapolis International,7.119047619047619
Raleigh-Durham International,Cincinnati/Northern Kentucky International,7.117647058823529
Chicago O'Hare International,Jacksonville International,7.1066666666666665
Palm Beach International,Hartsfield-Jackson Atlanta International,7.10091743119266
Ronald Reagan Washington National,Denver International,7.086956521739131
William P Hobby,Louis Armstrong New Orleans International,7.085427135678392
Long Beach Airport,Logan International,7.071428571428571
George Bush Intercontinental/Houston,Dallas Love Field,7.046296296296297
Nashville International,Tampa International,7.027027027027027
Louis Armstrong New Orleans International,Dallas Love Field,7.0198675496688745
Baltimore/Washington International Thurgood Marshall,Chicago O'Hare International,7.017045454545454
Charlotte Douglas International,Cleveland-Hopkins International,7.016260162601626
Newark Liberty International,Tampa International,7.008403361344538
Albuquerque International Sunport,Dallas/Fort Worth International,7.005747126436781
Metropolitan Oakland International,Reno/Tahoe International,7.0
Port Columbus International,Logan International,7.0
Minneapolis-St Paul International,Washington Dulles International,7.0
Seattle/Tacoma International,Nashville International,7.0
Los Angeles International,Logan International,6.987234042553191
Los Angeles International,Chicago O'Hare International,6.9765625
Dallas Love Field,William P Hobby,6.976495726495727
Chicago O'Hare International,Sacramento International,6.976190476190476
George Bush Intercontinental/Houston,San Francisco International,6.975369458128079
Hartsfield-Jackson Atlanta International,Southwest Florida International,6.951612903225806
Orlando International,General Mitchell International,6.936507936507937
Southwest Florida International,George Bush Intercontinental/Houston,6.926829268292683
Reno/Tahoe International,Los Angeles International,6.926315789473684
Fort Lauderdale-Hollywood International,Hartsfield-Jackson Atlanta International,6.922897196261682
Newark Liberty International,Fort Lauderdale-Hollywood International,6.921787709497207
Fort Lauderdale-Hollywood International,Charlotte Douglas International,6.9057591623036645
Philadelphia International,Miami International,6.888888888888889
Dallas/Fort Worth International,George Bush Intercontinental/Houston,6.879310344827586
William P Hobby,Hartsfield-Jackson Atlanta International,6.855555555555555
William P Hobby,San Diego International,6.844827586206897
Minneapolis-St Paul International,Theodore Francis Green State,6.818181818181818
Los Angeles International,Chicago Midway International,6.816
Fort Lauderdale-Hollywood International,Ronald Reagan Washington National,6.813084112149533
Phoenix Sky Harbor International,Philadelphia International,6.808219178082192
General Mitchell International,Lambert-St. Louis International,6.8
Tampa International,Charlotte Douglas International,6.792899408284024
Minneapolis-St Paul International,Lambert-St. Louis International,6.790697674418604
Kansas City International,San Francisco International,6.784313725490196
Chicago O'Hare International,Phoenix Sky Harbor International,6.783269961977187
Newark Liberty International,Theodore Francis Green State,6.78125
Chicago O'Hare International,Southwest Florida International,6.764705882352941
Washington Dulles International,Hartsfield-Jackson Atlanta International,6.758771929824562
Will Rogers World,Phoenix Sky Harbor International,6.756756756756757
Seattle/Tacoma International,General Mitchell International,6.75
Metropolitan Oakland International,Los Angeles International,6.746478873239437
San Francisco International,General Mitchell International,6.739130434782608
Dallas Love Field,Lambert-St. Louis International,6.733333333333333
Cleveland-Hopkins International,Chicago Midway International,6.732394366197183
John Wayne Airport-Orange County,Metropolitan Oakland International,6.7290322580645165
Pittsburgh International,Baltimore/Washington International Thurgood Marshall,6.726190476190476
Luis Munoz Marin International,Dallas/Fort Worth International,6.722222222222222
Louis Armstrong New Orleans International,Miami International,6.72093023255814
Cincinnati/Northern Kentucky International,Miami International,6.702127659574468
Chicago Midway International,Hartsfield-Jackson Atlanta International,6.701807228915663
Charlotte Douglas International,Bradley International,6.6902654867256635
Albuquerque International Sunport,Denver International,6.681081081081081
Tampa International,Nashville International,6.6716417910447765
John F. Kennedy International,McCarran International,6.670731707317073
Detroit Metro Wayne County,Memphis International,6.657894736842105
San Diego International,Metropolitan Oakland International,6.650442477876106
Portland International,Denver International,6.648351648351649
Richmond International,Hartsfield-Jackson Atlanta International,6.634854771784233
Philadelphia International,Cincinnati/Northern Kentucky International,6.625
Detroit Metro Wayne County,Logan International,6.616541353383458
Cincinnati/Northern Kentucky International,Pittsburgh International,6.612244897959184
Ontario International,McCarran International,6.6068376068376065
Seattle/Tacoma International,Minneapolis-St Paul International,6.592814371257485
Palm Beach International,Bradley International,6.592592592592593
Fort Lauderdale-Hollywood International,Tampa International,6.586538461538462
Long Beach Airport,Sacramento International,6.576923076923077
San Francisco International,Baltimore/Washington International Thurgood Marshall,6.571428571428571
Nashville International,San Diego International,6.571428571428571
Orlando International,Austin - Bergstrom International,6.553571428571429
Louisville International-Standiford Field,Miami International,6.55
Newark Liberty International,Charlotte Douglas International,6.541254125412541
Logan International,Pittsburgh International,6.534246575342466
Minneapolis-St Paul International,Albuquerque International Sunport,6.523809523809524
Washington Dulles International,Minneapolis-St Paul International,6.521739130434782
Denver International,Washington Dulles International,6.518324607329843
Lambert-St. Louis International,San Antonio International,6.514285714285714
John F. Kennedy International,Fort Lauderdale-Hollywood International,6.5095238095238095
Ronald Reagan Washington National,LaGuardia,6.496376811594203
Nashville International,Raleigh-Durham International,6.493827160493828
Will Rogers World,Chicago O'Hare International,6.488188976377953
Charlotte Douglas International,Louis Armstrong New Orleans International,6.482142857142857
Los Angeles International,San Antonio International,6.478632478632479
Louis Armstrong New Orleans International,Phoenix Sky Harbor International,6.478260869565218
LaGuardia,Cleveland-Hopkins International,6.475409836065574
Hartsfield-Jackson Atlanta International,Palm Beach International,6.468354430379747
General Mitchell International,Cleveland-Hopkins International,6.458333333333333
Washington Dulles International,George Bush Intercontinental/Houston,6.453781512605042
Washington Dulles International,Austin - Bergstrom International,6.448979591836735
Albuquerque International Sunport,San Diego International,6.448275862068965
Hartsfield-Jackson Atlanta International,San Diego International,6.439024390243903
Detroit Metro Wayne County,Chicago Midway International,6.420091324200913
San Francisco International,Tucson International,6.419354838709677
Metropolitan Oakland International,Seattle/Tacoma International,6.415178571428571
Charlotte Douglas International,Phoenix Sky Harbor International,6.413461538461538
Denver International,Memphis International,6.4
McCarran International,General Mitchell International,6.397260273972603
Lambert-St. Louis International,Will Rogers World,6.394736842105263
Honolulu International,Kahului Airport,6.390070921985815
Tampa International,Newark Liberty International,6.3893129770992365
Detroit Metro Wayne County,Cincinnati/Northern Kentucky International,6.385714285714286
Nashville International,LaGuardia,6.377272727272727
McCarran International,Bob Hope,6.374468085106383
Phoenix Sky Harbor International,Albuquerque International Sunport,6.37123745819398
Will Rogers World,George Bush Intercontinental/Houston,6.369747899159663
Metropolitan Oakland International,Phoenix Sky Harbor International,6.358851674641149
Austin - Bergstrom International,Chicago Midway International,6.358208955223881
Austin - Bergstrom International,Fort Lauderdale-Hollywood International,6.357142857142857
Salt Lake City International,Chicago O'Hare International,6.3544303797468356
George Bush Intercontinental/Houston,Minneapolis-St Paul International,6.34965034965035
McCarran International,Indianapolis International,6.34375
Lambert-St. Louis International,General Mitchell International,6.32258064516129
Orlando International,Denver International,6.318918918918919
Bradley International,Chicago Midway International,6.3088235294117645
McCarran International,Washington Dulles International,6.282608695652174
Dallas/Fort Worth International,Seattle/Tacoma International,6.280788177339901
Chicago O'Hare International,Indianapolis International,6.280373831775701
Luis Munoz Marin International,Hartsfield-Jackson Atlanta International,6.276785714285714
San Antonio International,Orlando International,6.27027027027027
Washington Dulles International,Cincinnati/Northern Kentucky International,6.266666666666667
John F. Kennedy International,William P Hobby,6.260869565217392
Philadelphia International,Orlando International,6.25
Chicago Midway International,Baltimore/Washington International Thurgood Marshall,6.25
Southwest Florida International,Chicago Midway International,6.241935483870968
Los Angeles International,Honolulu International,6.240282685512367
Charlotte Douglas International,Lambert-St. Louis International,6.24
Charlotte Douglas International,Baltimore/Washington International Thurgood Marshall,6.225352112676056
San Diego International,Ronald Reagan Washington National,6.208333333333333
Chicago Midway International,Detroit Metro Wayne County,6.20627802690583
Memphis International,Philadelphia International,6.2
Norman Y. Mineta San Jose International,Los Angeles International,6.1992409867172675
McCarran International,Phoenix Sky Harbor International,6.194148936170213
Dallas/Fort Worth International,Southwest Florida International,6.192982456140351
Chicago O'Hare International,Tucson International,6.1923076923076925
Fort Lauderdale-Hollywood International,Chicago Midway International,6.173913043478261
Nashville International,Chicago Midway International,6.172413793103448
Cincinnati/Northern Kentucky International,Philadelphia International,6.166666666666667
Washington Dulles International,Port Columbus International,6.166666666666667
Buffalo Niagara International,Hartsfield-Jackson Atlanta International,6.166666666666667
Miami International,Tampa International,6.165413533834586
Washington Dulles International,Luis Munoz Marin International,6.142857142857143
Denver International,Seattle/Tacoma International,6.142045454545454
Miami International,LaGuardia,6.133704735376044
San Diego International,Norman Y. Mineta San Jose International,6.123762376237623
Jacksonville International,William P Hobby,6.104166666666667
McCarran International,Norman Y. Mineta San Jose International,6.093922651933702
Tampa International,Hartsfield-Jackson Atlanta International,6.09255079006772
San Francisco International,Phoenix Sky Harbor International,6.090614886731392
Eppley Airfield,McCarran International,6.087719298245614
George Bush Intercontinental/Houston,Sacramento International,6.086956521739131
Charlotte Douglas International,Cincinnati/Northern Kentucky International,6.0813953488372094
Austin - Bergstrom International,Dallas/Fort Worth International,6.071917808219178
Logan International,Memphis International,6.0625
Louisville International-Standiford Field,Dallas/Fort Worth International,6.053191489361702
Ontario International,Sacramento International,6.04320987654321
Baltimore/Washington International Thurgood Marshall,Fort Lauderdale-Hollywood International,6.039130434782609
Sacramento International,Dallas/Fort Worth International,6.035714285714286
Port Columbus International,George Bush Intercontinental/Houston,6.035087719298246
Logan International,General Mitchell International,6.030769230769231
Chicago Midway International,Tampa International,6.019607843137255
Cincinnati/Northern Kentucky International,Bradley International,6.019230769230769
Bradley International,Hartsfield-Jackson Atlanta International,6.017857142857143
George Bush Intercontinental/Houston,Will Rogers World,6.015384615384615
Bradley International,Orlando International,6.0
Los Angeles International,Philadelphia International,5.993865030674846
Charlotte Douglas International,Dallas/Fort Worth International,5.972049689440993
Hartsfield-Jackson Atlanta International,Cleveland-Hopkins International,5.954285714285715
Hartsfield-Jackson Atlanta International,Jacksonville International,5.950292397660819
Cincinnati/Northern Kentucky International,Richmond International,5.95
McCarran International,Sacramento International,5.942857142857143
Hartsfield-Jackson Atlanta International,Cincinnati/Northern Kentucky International,5.9411764705882355
Phoenix Sky Harbor International,Kansas City International,5.933333333333334
Orlando International,Los Angeles International,5.929133858267717
John Wayne Airport-Orange County,Sacramento International,5.924812030075188
Minneapolis-St Paul International,Louis Armstrong New Orleans International,5.913043478260869
McCarran International,Baltimore/Washington International Thurgood Marshall,5.910891089108911
