OriginAirportName,DestAirportName,AverageArrivalDelay
Chicago Midway International,Salt Lake City International,19.153846153846153
Dallas/Fort Worth International,Luis Munoz Marin International,19.08
Chicago Midway International,Tucson International,19.071428571428573
Denver International,Metropolitan Oakland International,19.06578947368421
Albuquerque International Sunport,Chicago O'Hare International,19.056603773584907
Newark Liberty International,Chicago Midway International,19.048780487804876
Orlando International,John F. Kennedy International,18.983660130718953
Jacksonville International,Newark Liberty International,18.983333333333334
Tampa International,Luis Munoz Marin International,18.893333333333334
Louis Armstrong New Orleans International,Kansas City International,18.88888888888889
John F. Kennedy International,Cincinnati/Northern Kentucky International,18.88235294117647
Washington Dulles International,Charlotte Douglas International,18.865591397849464
Fort Lauderdale-Hollywood International,Austin - Bergstrom International,18.833333333333332
William P Hobby,Phoenix Sky Harbor International,18.831460674157302
Austin - Bergstrom International,Logan International,18.8
John F. Kennedy International,Washington Dulles International,18.775757575757577
Baltimore/Washington International Thurgood Marshall,San Antonio International,18.75
Dallas/Fort Worth International,Reno/Tahoe International,18.745098039215687
Memphis International,Denver International,18.694444444444443
Kansas City International,Portland International,18.615384615384617
Los Angeles International,San Francisco International,18.241416309012877
Denver International,Pittsburgh International,18.227272727272727
Fort Lauderdale-Hollywood International,Nashville International,18.15
Cincinnati/Northern Kentucky International,John F. Kennedy International,18.121951219512194
Port Columbus International,Southwest Florida International,18.0
Cleveland-Hopkins International,Palm Beach International,18.0
Miami International,Denver International,17.972972972972972
Ontario International,Dallas/Fort Worth International,17.91176470588235
Pittsburgh International,Newark Liberty International,17.9
Memphis International,Baltimore/Washington International Thurgood Marshall,17.88888888888889
Chicago O'Hare International,Will Rogers World,17.843537414965986
Charlotte Douglas International,John F. Kennedy International,17.77777777777778
Memphis International,George Bush Intercontinental/Houston,17.776785714285715
San Antonio International,Chicago O'Hare International,17.765625
John F. Kennedy International,Pittsburgh International,17.73134328358209
Chicago O'Hare International,Hartsfield-Jackson Atlanta International,17.730125523012553
Chicago O'Hare International,Cleveland-Hopkins International,17.713068181818183
Chicago O'Hare International,Pittsburgh International,17.65740740740741
Richmond International,Newark Liberty International,17.591397849462364
Chicago Midway International,Bradley International,17.50769230769231
Denver International,Logan International,17.449664429530202
Austin - Bergstrom International,Tampa International,17.444444444444443
Bradley International,Palm Beach International,17.391304347826086
Port Columbus International,Chicago O'Hare International,17.34328358208955
Dallas/Fort Worth International,Palm Beach International,17.325
Denver International,Bradley International,17.3125
Ontario International,San Francisco International,17.3
Dallas/Fort Worth International,Tucson International,17.291970802919707
Memphis International,Detroit Metro Wayne County,17.24175824175824
Kansas City International,William P Hobby,17.204545454545453
Denver International,John F. Kennedy International,17.18867924528302
Buffalo Niagara International,Fort Lauderdale-Hollywood International,17.181818181818183
Fort Lauderdale-Hollywood International,Phoenix Sky Harbor International,17.129032258064516
Chicago Midway International,San Diego International,16.89855072463768
Philadelphia International,Seattle/Tacoma International,16.825
Philadelphia International,Denver International,16.798657718120804
Raleigh-Durham International,Chicago O'Hare International,16.751677852348994
Chicago O'Hare International,San Francisco International,16.70715835140998
Philadelphia International,Indianapolis International,16.666666666666668
Fort Lauderdale-Hollywood International,Buffalo Niagara International,16.63157894736842
John Wayne Airport-Orange County,San Francisco International,16.620462046204622
Cleveland-Hopkins International,LaGuardia,16.59090909090909
Chicago O'Hare International,Louisville International-Standiford Field,16.58974358974359
San Francisco International,Austin - Bergstrom International,16.580246913580247
Tucson International,San Francisco International,16.541666666666668
Fort Lauderdale-Hollywood International,Logan International,16.482758620689655
Denver International,Chicago O'Hare International,16.407166123778502
LaGuardia,Pittsburgh International,16.381818181818183
Philadelphia International,Ronald Reagan Washington National,16.36
San Francisco International,Raleigh-Durham International,16.34375
Chicago Midway International,LaGuardia,16.33050847457627
Charlotte Douglas International,Louisville International-Standiford Field,16.317460317460316
Dallas/Fort Worth International,Sacramento International,16.3
William P Hobby,Will Rogers World,16.25
Memphis International,Phoenix Sky Harbor International,16.2
Newark Liberty International,Hartsfield-Jackson Atlanta International,16.17878787878788
Denver International,Ronald Reagan Washington National,16.160493827160494
Denver International,LaGuardia,16.142857142857142
Logan International,William P Hobby,16.14
Chicago Midway International,San Francisco International,16.11764705882353
Washington Dulles International,Louis Armstrong New Orleans International,16.1
Jacksonville International,Baltimore/Washington International Thurgood Marshall,16.1
Jacksonville International,George Bush Intercontinental/Houston,16.07843137254902
Richmond International,Cleveland-Hopkins International,16.019607843137255
Washington Dulles International,Newark Liberty International,15.966101694915254
Denver International,San Francisco International,15.954415954415955
McCarran International,Eppley Airfield,15.951612903225806
Dallas/Fort Worth International,Austin - Bergstrom International,15.951557093425606
Chicago Midway International,Ontario International,15.89655172413793
Denver International,Austin - Bergstrom International,15.869565217391305
Denver International,Indianapolis International,15.867256637168142
Cleveland-Hopkins International,Miami International,15.857142857142858
Chicago O'Hare International,Kansas City International,15.79863481228669
San Diego International,Chicago O'Hare International,15.792207792207792
Jacksonville International,Minneapolis-St Paul International,15.75
Washington Dulles International,Fort Lauderdale-Hollywood International,15.733333333333333
Philadelphia International,Luis Munoz Marin International,15.692307692307692
William P Hobby,Jacksonville International,15.64516129032258
Dallas/Fort Worth International,Louisville International-Standiford Field,15.608695652173912
Chicago O'Hare International,Austin - Bergstrom International,15.6
Lambert-St. Louis International,Louis Armstrong New Orleans International,15.6
Kahului Airport,Dallas/Fort Worth International,15.6
Pittsburgh International,Chicago O'Hare International,15.556034482758621
General Mitchell International,Newark Liberty International,15.55072463768116
Baltimore/Washington International Thurgood Marshall,Bradley International,15.55056179775281
Washington Dulles International,John F. Kennedy International,15.5
Baltimore/Washington International Thurgood Marshall,Pittsburgh International,15.426470588235293
Chicago Midway International,Seattle/Tacoma International,15.423529411764706
Cleveland-Hopkins International,Chicago O'Hare International,15.39367816091954
Hartsfield-Jackson Atlanta International,Newark Liberty International,15.382716049382717
LaGuardia,Minneapolis-St Paul International,15.380753138075313
Newark Liberty International,Ronald Reagan Washington National,15.364864864864865
General Mitchell International,San Francisco International,15.333333333333334
Dallas/Fort Worth International,San Diego International,15.311475409836065
LaGuardia,Fort Lauderdale-Hollywood International,15.29296875
Charlotte Douglas International,Philadelphia International,15.28
Logan International,Luis Munoz Marin International,15.279411764705882
Dallas/Fort Worth International,Richmond International,15.25
LaGuardia,Philadelphia International,15.2
Baltimore/Washington International Thurgood Marshall,Buffalo Niagara International,15.197530864197532
John F. Kennedy International,Kansas City International,15.19047619047619
Tampa International,Bradley International,15.147058823529411
Baltimore/Washington International Thurgood Marshall,Newark Liberty International,15.142857142857142
Baltimore/Washington International Thurgood Marshall,Kansas City International,15.126760563380282
John F. Kennedy International,Norfolk International,15.113636363636363
Chicago O'Hare International,Philadelphia International,15.111702127659575
William P Hobby,Metropolitan Oakland International,15.095238095238095
LaGuardia,Orlando International,15.030172413793103
Albuquerque International Sunport,Seattle/Tacoma International,14.953488372093023
Nashville International,Lambert-St. Louis International,14.886363636363637
Louis Armstrong New Orleans International,Cleveland-Hopkins International,14.857142857142858
William P Hobby,Indianapolis International,14.849056603773585
Honolulu International,Chicago O'Hare International,14.84375
Chicago O'Hare International,Logan International,14.843400447427292
Logan International,Kansas City International,14.833333333333334
Miami International,San Francisco International,14.826666666666666
Reno/Tahoe International,Chicago O'Hare International,14.807692307692308
San Diego International,San Francisco International,14.774266365688488
Kansas City International,Newark Liberty International,14.75609756097561
Kahului Airport,San Diego International,14.714285714285714
Chicago Midway International,Los Angeles International,14.690140845070422
Norman Y. Mineta San Jose International,Dallas/Fort Worth International,14.678899082568808
Raleigh-Durham International,LaGuardia,14.642512077294686
Denver International,Kansas City International,14.638392857142858
Denver International,Albuquerque International Sunport,14.632911392405063
John F. Kennedy International,Dallas/Fort Worth International,14.604651162790697
Dallas/Fort Worth International,Logan International,14.591269841269842
Miami International,Cleveland-Hopkins International,14.583333333333334
Louisville International-Standiford Field,Detroit Metro Wayne County,14.53125
Charlotte Douglas International,LaGuardia,14.50943396226415
Dallas/Fort Worth International,McCarran International,14.46808510638298
Baltimore/Washington International Thurgood Marshall,Tampa International,14.464788732394366
Dallas/Fort Worth International,Baltimore/Washington International Thurgood Marshall,14.46043165467626
Ronald Reagan Washington National,Chicago O'Hare International,14.443609022556391
George Bush Intercontinental/Houston,Honolulu International,14.421052631578947
Dallas/Fort Worth International,San Antonio International,14.418604651162791
Dallas/Fort Worth International,Honolulu International,14.384615384615385
McCarran International,Metropolitan Oakland International,14.342105263157896
Chicago O'Hare International,Charlotte Douglas International,14.338672768878718
Fort Lauderdale-Hollywood International,Newark Liberty International,14.296650717703349
Reno/Tahoe International,George Bush Intercontinental/Houston,14.285714285714286
Minneapolis-St Paul International,Jacksonville International,14.25
Norfolk International,Washington Dulles International,14.240963855421686
McCarran International,Lambert-St. Louis International,14.238095238095237
Lambert-St. Louis International,Dallas Love Field,14.213903743315509
Hartsfield-Jackson Atlanta International,LaGuardia,14.20483870967742
LaGuardia,Raleigh-Durham International,14.183098591549296
Pittsburgh International,Fort Lauderdale-Hollywood International,14.166666666666666
Pittsburgh International,Washington Dulles International,14.151515151515152
Philadelphia International,San Francisco International,14.12280701754386
Albuquerque International Sunport,Chicago Midway International,14.106382978723405
LaGuardia,Hartsfield-Jackson Atlanta International,14.09951845906902
Chicago O'Hare International,Washington Dulles International,14.070967741935483
Salt Lake City International,San Francisco International,14.052631578947368
Bob Hope,San Francisco International,14.041666666666666
Baltimore/Washington International Thurgood Marshall,Chicago Midway International,14.038167938931299
Chicago O'Hare International,Bradley International,14.030864197530864
Raleigh-Durham International,Newark Liberty International,14.011904761904763
Chicago O'Hare International,Baltimore/Washington International Thurgood Marshall,13.984848484848484
Newark Liberty International,Louisville International-Standiford Field,13.983333333333333
Dallas/Fort Worth International,Eppley Airfield,13.931372549019608
Denver International,Tampa International,13.914634146341463
Dallas/Fort Worth International,Pittsburgh International,13.88888888888889
Lambert-St. Louis International,Miami International,13.870967741935484
Metropolitan Oakland International,John F. Kennedy International,13.826086956521738
Palm Beach International,John F. Kennedy International,13.82
William P Hobby,Newark Liberty International,13.81132075471698
Chicago O'Hare International,Port Columbus International,13.787003610108304
General Mitchell International,Charlotte Douglas International,13.75
Denver International,Baltimore/Washington International Thurgood Marshall,13.733333333333333
Chicago O'Hare International,Tampa International,13.727272727272727
Honolulu International,Dallas/Fort Worth International,13.692307692307692
Charlotte Douglas International,Chicago O'Hare International,13.688279301745636
Cleveland-Hopkins International,Theodore Francis Green State,13.666666666666666
McCarran International,Ontario International,13.663716814159292
Charlotte Douglas International,Austin - Bergstrom International,13.653846153846153
John F. Kennedy International,Denver International,13.638297872340425
Chicago O'Hare International,Buffalo Niagara International,13.635983263598327
Chicago Midway International,Lambert-St. Louis International,13.623711340206185
San Francisco International,Philadelphia International,13.58918918918919
Miami International,Norfolk International,13.568627450980392
Charlotte Douglas International,Portland International,13.56
Lambert-St. Louis International,Newark Liberty International,13.531468531468532
Detroit Metro Wayne County,Philadelphia International,13.531073446327683
Denver International,Cleveland-Hopkins International,13.520547945205479
Fort Lauderdale-Hollywood International,Philadelphia International,13.504504504504505
Theodore Francis Green State,Denver International,13.5
Charlotte Douglas International,General Mitchell International,13.5
Phoenix Sky Harbor International,Ronald Reagan Washington National,13.492957746478874
Baltimore/Washington International Thurgood Marshall,Palm Beach International,13.46808510638298
Chicago Midway International,Norman Y. Mineta San Jose International,13.444444444444445
Denver International,Salt Lake City International,13.441613588110403
Nashville International,Ronald Reagan Washington National,13.417582417582418
Newark Liberty International,Kansas City International,13.411764705882353
Detroit Metro Wayne County,Chicago O'Hare International,13.409610983981693
Dallas/Fort Worth International,Albuquerque International Sunport,13.407407407407407
San Francisco International,San Antonio International,13.392857142857142
Kansas City International,Denver International,13.385786802030458
San Antonio International,Minneapolis-St Paul International,13.380952380952381
Chicago O'Hare International,Norman Y. Mineta San Jose International,13.379310344827585
Austin - Bergstrom International,San Francisco International,13.375838926174497
Norman Y. Mineta San Jose International,Chicago Midway International,13.368421052631579
Chicago Midway International,Buffalo Niagara International,13.368421052631579
Luis Munoz Marin International,Baltimore/Washington International Thurgood Marshall,13.344827586206897
Denver International,William P Hobby,13.31
Indianapolis International,Fort Lauderdale-Hollywood International,13.285714285714286
Cincinnati/Northern Kentucky International,Dallas/Fort Worth International,13.26751592356688
Chicago Midway International,Charlotte Douglas International,13.24390243902439
Luis Munoz Marin International,George Bush Intercontinental/Houston,13.217391304347826
Port Columbus International,Nashville International,13.18421052631579
San Francisco International,Dallas/Fort Worth International,13.179941002949853
Chicago Midway International,Phoenix Sky Harbor International,13.17361111111111
San Diego International,McCarran International,13.147826086956522
San Francisco International,Kansas City International,13.122448979591837
Theodore Francis Green State,Chicago Midway International,13.106060606060606
Newark Liberty International,Norfolk International,13.096774193548388
Miami International,Ronald Reagan Washington National,13.07361963190184
Indianapolis International,Dallas/Fort Worth International,13.070588235294117
McCarran International,Will Rogers World,13.069767441860465
George Bush Intercontinental/Houston,Cincinnati/Northern Kentucky International,13.03960396039604
Phoenix Sky Harbor International,San Francisco International,13.033033033033034
Southwest Florida International,Logan International,13.0
San Diego International,Lambert-St. Louis International,13.0
Dallas/Fort Worth International,Salt Lake City International,12.97948717948718
Phoenix Sky Harbor International,Will Rogers World,12.978260869565217
Detroit Metro Wayne County,John F. Kennedy International,12.972602739726028
Dallas/Fort Worth International,Memphis International,12.968253968253968
Chicago O'Hare International,Norfolk International,12.965909090909092
Lambert-St. Louis International,Denver International,12.95364238410596
McCarran International,Logan International,12.94915254237288
Baltimore/Washington International Thurgood Marshall,Norfolk International,12.931818181818182
Luis Munoz Marin International,Orlando International,12.909604519774012
Seattle/Tacoma International,San Francisco International,12.891252955082741
Miami International,Raleigh-Durham International,12.89090909090909
Dallas/Fort Worth International,San Francisco International,12.865714285714287
Nashville International,Port Columbus International,12.853658536585366
William P Hobby,Los Angeles International,12.8
Norfolk International,Chicago O'Hare International,12.792207792207792
Chicago Midway International,Louisville International-Standiford Field,12.791208791208792
Austin - Bergstrom International,Metropolitan Oakland International,12.777777777777779
Denver International,Eppley Airfield,12.773333333333333
Miami International,John F. Kennedy International,12.745945945945946
Chicago Midway International,Theodore Francis Green State,12.73913043478261
Pittsburgh International,Denver International,12.732142857142858
William P Hobby,Albuquerque International Sunport,12.686274509803921
Washington Dulles International,Nashville International,12.683333333333334
Los Angeles International,General Mitchell International,12.636363636363637
Charlotte Douglas International,Logan International,12.632231404958677
Denver International,Louis Armstrong New Orleans International,12.63063063063063
Bradley International,Newark Liberty International,12.625
Ontario International,Denver International,12.569767441860465
Nashville International,Jacksonville International,12.569230769230769
San Francisco International,John F. Kennedy International,12.56768558951965
